Author,Type,Study,Domain,Domain_short,Risk_Type
Ramage,Original,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Selection bias: sequence generation,D1,High
Ramage,Replication,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Selection bias: sequence generation,D1,Unclear
Ramage,Original,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Other sources of bias,D10,Low
Ramage,Original,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Selection bias: baseline characteristics,D2,Low
Ramage,Original,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Selection bias: allocation concealment,D3,Low
Ramage,Original,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Performance bias: random housing,D4,High
Ramage,Original,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Performance bias: blinding,D5,High
Ramage,Original,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Detection bias: random outcome assessment,D6,High
Ramage,Original,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Detection bias: blinding,D7,High
Ramage,Original,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Attrition bias: incomplete outcome data,D8,Unclear
Ramage,Original,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Reporting bias: selective outcome reporting,D9,Low
Ramage,Replication,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Other sources of bias,D10,Low
Ramage,Replication,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Selection bias: baseline characteristics,D2,Unclear
Ramage,Replication,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Selection bias: allocation concealment,D3,Unclear
Ramage,Replication,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Performance bias: random housing,D4,Unclear
Ramage,Replication,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Performance bias: blinding,D5,Unclear
Ramage,Replication,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Detection bias: random outcome assessment,D6,Unclear
Ramage,Replication,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Detection bias: blinding,D7,Low
Ramage,Replication,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Attrition bias: incomplete outcome data,D8,Unclear
Ramage,Replication,"Ãlvarez-RuÃ­z and Carrillo-Mora, 2013",Reporting bias: selective outcome reporting,D9,Unclear
Gallas-Lopes,Replication,"Amorim, 2017",Selection bias: sequence generation,D1,Unclear
Gallas-Lopes,Replication,"Amorim, 2017",Selection bias: baseline characteristics,D2,Low
Gallas-Lopes,Replication,"Amorim, 2017",Selection bias: allocation concealment,D3,Unclear
Gallas-Lopes,Replication,"Amorim, 2017",Performance bias: random housing,D4,Unclear
Gallas-Lopes,Replication,"Amorim, 2017",Performance bias: blinding,D5,Low
Gallas-Lopes,Replication,"Amorim, 2017",Detection bias: random outcome assessment,D6,Unclear
Gallas-Lopes,Replication,"Amorim, 2017",Detection bias: blinding,D7,Low
Gallas-Lopes,Replication,"Amorim, 2017",Attrition bias: incomplete outcome data,D8,Low
Gallas-Lopes,Replication,"Amorim, 2017",Reporting bias: selective outcome reporting,D9,Low
Gallas-Lopes,Replication,"Amorim, 2017",Other sources of bias,D10,High
Gallas-Lopes,Original,"Amorim, 2017",Selection bias: sequence generation,D1,Unclear
Gallas-Lopes,Original,"Amorim, 2017",Selection bias: baseline characteristics,D2,Low
Gallas-Lopes,Original,"Amorim, 2017",Selection bias: allocation concealment,D3,Unclear
Gallas-Lopes,Original,"Amorim, 2017",Performance bias: random housing,D4,Unclear
Gallas-Lopes,Original,"Amorim, 2017",Performance bias: blinding,D5,Unclear
Gallas-Lopes,Original,"Amorim, 2017",Detection bias: random outcome assessment,D6,Unclear
Gallas-Lopes,Original,"Amorim, 2017",Detection bias: blinding,D7,Unclear
Gallas-Lopes,Original,"Amorim, 2017",Attrition bias: incomplete outcome data,D8,Unclear
Gallas-Lopes,Original,"Amorim, 2017",Reporting bias: selective outcome reporting,D9,Low
Gallas-Lopes,Original,"Amorim, 2017",Other sources of bias,D10,Low
Vojvodic,Replication,Bonova 2016,Selection bias: sequence generation,D1,Unclear
Vojvodic,Replication,Bonova 2016,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Replication,Bonova 2016,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Replication,Bonova 2016,Performance bias: random housing,D4,Unclear
Vojvodic,Replication,Bonova 2016,Performance bias: blinding,D5,Unclear
Vojvodic,Replication,Bonova 2016,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Replication,Bonova 2016,Detection bias: blinding,D7,Low
Vojvodic,Replication,Bonova 2016,Attrition bias: incomplete outcome data,D8,High
Vojvodic,Replication,Bonova 2016,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Replication,Bonova 2016,Other sources of bias,D10,Low
Vojvodic,Original,Bonova 2016,Selection bias: sequence generation,D1,Unclear
Vojvodic,Original,Bonova 2016,Selection bias: baseline characteristics,D2,Unclear
Vojvodic,Original,Bonova 2016,Selection bias: allocation concealment,D3,Unclear
Vojvodic,Original,Bonova 2016,Performance bias: random housing,D4,Unclear
Vojvodic,Original,Bonova 2016,Performance bias: blinding,D5,Unclear
Vojvodic,Original,Bonova 2016,Detection bias: random outcome assessment,D6,Unclear
Vojvodic,Original,Bonova 2016,Detection bias: blinding,D7,Low
Vojvodic,Original,Bonova 2016,Attrition bias: incomplete outcome data,D8,High
Vojvodic,Original,Bonova 2016,Reporting bias: selective outcome reporting,D9,High
Vojvodic,Original,Bonova 2016,Other sources of bias,D10,Unclear
Ramage,Original,"Budni et al., 2017",Selection bias: sequence generation,D1,High
Ramage,Replication,"Budni et al., 2017",Selection bias: sequence generation,D1,Unclear
Ramage,Original,"Budni et al., 2017",Other sources of bias,D10,Low
Ramage,Original,"Budni et al., 2017",Selection bias: baseline characteristics,D2,Low
Ramage,Original,"Budni et al., 2017",Selection bias: allocation concealment,D3,High
Ramage,Original,"Budni et al., 2017",Performance bias: random housing,D4,High
Ramage,Original,"Budni et al., 2017",Performance bias: blinding,D5,High
Ramage,Original,"Budni et al., 2017",Detection bias: random outcome assessment,D6,High
Ramage,Original,"Budni et al., 2017",Detection bias: blinding,D7,High
Ramage,Original,"Budni et al., 2017",Attrition bias: incomplete outcome data,D8,High
Ramage,Original,"Budni et al., 2017",Reporting bias: selective outcome reporting,D9,Low
Ramage,Replication,"Budni et al., 2017",Other sources of bias,D10,Unclear
Ramage,Replication,"Budni et al., 2017",Selection bias: baseline characteristics,D2,Unclear
Ramage,Replication,"Budni et al., 2017",Selection bias: allocation concealment,D3,Unclear
Ramage,Replication,"Budni et al., 2017",Performance bias: random housing,D4,Unclear
Ramage,Replication,"Budni et al., 2017",Performance bias: blinding,D5,Unclear
Ramage,Replication,"Budni et al., 2017",Detection bias: random outcome assessment,D6,Unclear
Ramage,Replication,"Budni et al., 2017",Detection bias: blinding,D7,Unclear
Ramage,Replication,"Budni et al., 2017",Attrition bias: incomplete outcome data,D8,Unclear
Ramage,Replication,"Budni et al., 2017",Reporting bias: selective outcome reporting,D9,Unclear
Gallas-Lopes,Replication,"Burke, 2014",Selection bias: sequence generation,D1,Unclear
Gallas-Lopes,Replication,"Burke, 2014",Selection bias: baseline characteristics,D2,Unclear
Gallas-Lopes,Replication,"Burke, 2014",Selection bias: allocation concealment,D3,Unclear
Gallas-Lopes,Replication,"Burke, 2014",Performance bias: random housing,D4,Unclear
Gallas-Lopes,Replication,"Burke, 2014",Performance bias: blinding,D5,Unclear
Gallas-Lopes,Replication,"Burke, 2014",Detection bias: random outcome assessment,D6,Unclear
Gallas-Lopes,Replication,"Burke, 2014",Detection bias: blinding,D7,Unclear
Gallas-Lopes,Replication,"Burke, 2014",Attrition bias: incomplete outcome data,D8,Unclear
Gallas-Lopes,Replication,"Burke, 2014",Reporting bias: selective outcome reporting,D9,Low
Gallas-Lopes,Replication,"Burke, 2014",Other sources of bias,D10,Low
Gallas-Lopes,Original,"Burke, 2014",Selection bias: sequence generation,D1,Unclear
