Author,Study_type,RoB_domain,RoB_score,N_studies,Percent_studies
Economou,Original,Sequence generation,Low,NA,NA
Economou,Original,Baseline characteristics,Low,NA,NA
Economou,Original,Allocation concealment,Low,NA,NA
Economou,Original,Random housing,Low,NA,NA
Economou,Original,Blinded caregivers,Low,NA,NA
Economou,Original,Random outcome assessment,Low,NA,NA
Economou,Original,Blinding of outcome assessment,Low,NA,NA
Economou,Original,Incomplete outcome data,Low,NA,NA
Economou,Original,Selective outcome reporting,Low,NA,NA
Economou,Original,Other,Low,NA,NA
Economou,Original,Sequence generation,Unclear,NA,NA
Economou,Original,Baseline characteristics,Unclear,NA,NA
Economou,Original,Allocation concealment,Unclear,NA,NA
Economou,Original,Random housing,Unclear,NA,NA
Economou,Original,Blinded caregivers,Unclear,NA,NA
Economou,Original,Random outcome assessment,Unclear,NA,NA
Economou,Original,Blinding of outcome assessment,Unclear,NA,NA
Economou,Original,Incomplete outcome data,Unclear,NA,NA
Economou,Original,Selective outcome reporting,Unclear,NA,NA
Economou,Original,Other,Unclear,NA,NA
Economou,Original,Sequence generation,High,NA,NA
Economou,Original,Baseline characteristics,High,NA,NA
Economou,Original,Allocation concealment,High,NA,NA
Economou,Original,Random housing,High,NA,NA
Economou,Original,Blinded caregivers,High,NA,NA
Economou,Original,Random outcome assessment,High,NA,NA
Economou,Original,Blinding of outcome assessment,High,NA,NA
Economou,Original,Incomplete outcome data,High,NA,NA
Economou,Original,Selective outcome reporting,High,NA,NA
Economou,Original,Other,High,NA,NA
Economou,Replication,Sequence generation,Low,NA,NA
Economou,Replication,Baseline characteristics,Low,NA,NA
Economou,Replication,Allocation concealment,Low,NA,NA
Economou,Replication,Random housing,Low,NA,NA
Economou,Replication,Blinded caregivers,Low,NA,NA
Economou,Replication,Random outcome assessment,Low,NA,NA
Economou,Replication,Blinding of outcome assessment,Low,NA,NA
Economou,Replication,Incomplete outcome data,Low,NA,NA
Economou,Replication,Selective outcome reporting,Low,NA,NA
Economou,Replication,Other,Low,NA,NA
Economou,Replication,Sequence generation,Unclear,NA,NA
Economou,Replication,Baseline characteristics,Unclear,NA,NA
Economou,Replication,Allocation concealment,Unclear,NA,NA
Economou,Replication,Random housing,Unclear,NA,NA
Economou,Replication,Blinded caregivers,Unclear,NA,NA
Economou,Replication,Random outcome assessment,Unclear,NA,NA
Economou,Replication,Blinding of outcome assessment,Unclear,NA,NA
Economou,Replication,Incomplete outcome data,Unclear,NA,NA
Economou,Replication,Selective outcome reporting,Unclear,NA,NA
Economou,Replication,Other,Unclear,NA,NA
Economou,Replication,Sequence generation,High,NA,NA
Economou,Replication,Baseline characteristics,High,NA,NA
Economou,Replication,Allocation concealment,High,NA,NA
Economou,Replication,Random housing,High,NA,NA
Economou,Replication,Blinded caregivers,High,NA,NA
Economou,Replication,Random outcome assessment,High,NA,NA
Economou,Replication,Blinding of outcome assessment,High,NA,NA
Economou,Replication,Incomplete outcome data,High,NA,NA
Economou,Replication,Selective outcome reporting,High,NA,NA
Economou,Replication,Other,High,NA,NA
Gallas-Lopes,Original,Sequence generation,Low,0,0
Gallas-Lopes,Original,Baseline characteristics,Low,1,5
Gallas-Lopes,Original,Allocation concealment,Low,0,0
Gallas-Lopes,Original,Random housing,Low,0,0
Gallas-Lopes,Original,Blinded caregivers,Low,0,0
Gallas-Lopes,Original,Random outcome assessment,Low,0,0
Gallas-Lopes,Original,Blinding of outcome assessment,Low,0,0
Gallas-Lopes,Original,Incomplete outcome data,Low,12,60
Gallas-Lopes,Original,Selective outcome reporting,Low,20,100
Gallas-Lopes,Original,Other,Low,15,75
Gallas-Lopes,Original,Sequence generation,Unclear,20,100
Gallas-Lopes,Original,Baseline characteristics,Unclear,19,95
Gallas-Lopes,Original,Allocation concealment,Unclear,20,100
Gallas-Lopes,Original,Random housing,Unclear,20,100
Gallas-Lopes,Original,Blinded caregivers,Unclear,20,100
Gallas-Lopes,Original,Random outcome assessment,Unclear,20,100
Gallas-Lopes,Original,Blinding of outcome assessment,Unclear,20,100
Gallas-Lopes,Original,Incomplete outcome data,Unclear,8,40
Gallas-Lopes,Original,Selective outcome reporting,Unclear,0,0
Gallas-Lopes,Original,Other,Unclear,0,0
Gallas-Lopes,Original,Sequence generation,High,0,0
Gallas-Lopes,Original,Baseline characteristics,High,0,0
Gallas-Lopes,Original,Allocation concealment,High,0,0
Gallas-Lopes,Original,Random housing,High,0,0
Gallas-Lopes,Original,Blinded caregivers,High,0,0
Gallas-Lopes,Original,Random outcome assessment,High,0,0
Gallas-Lopes,Original,Blinding of outcome assessment,High,0,0
Gallas-Lopes,Original,Incomplete outcome data,High,0,0
Gallas-Lopes,Original,Selective outcome reporting,High,0,0
Gallas-Lopes,Original,Other,High,5,25
Gallas-Lopes,Replication,Sequence generation,Low,0,0
Gallas-Lopes,Replication,Baseline characteristics,Low,8,40
Gallas-Lopes,Replication,Allocation concealment,Low,0,0
Gallas-Lopes,Replication,Random housing,Low,0,0
Gallas-Lopes,Replication,Blinded caregivers,Low,1,5
Gallas-Lopes,Replication,Random outcome assessment,Low,0,0
Gallas-Lopes,Replication,Blinding of outcome assessment,Low,9,45
Gallas-Lopes,Replication,Incomplete outcome data,Low,9,45
Gallas-Lopes,Replication,Selective outcome reporting,Low,16,80
Gallas-Lopes,Replication,Other,Low,7,35
Gallas-Lopes,Replication,Sequence generation,Unclear,20,100
Gallas-Lopes,Replication,Baseline characteristics,Unclear,12,60
Gallas-Lopes,Replication,Allocation concealment,Unclear,20,100
Gallas-Lopes,Replication,Random housing,Unclear,20,100
Gallas-Lopes,Replication,Blinded caregivers,Unclear,14,70
Gallas-Lopes,Replication,Random outcome assessment,Unclear,20,100
Gallas-Lopes,Replication,Blinding of outcome assessment,Unclear,11,55
Gallas-Lopes,Replication,Incomplete outcome data,Unclear,7,35
Gallas-Lopes,Replication,Selective outcome reporting,Unclear,2,10
Gallas-Lopes,Replication,Other,Unclear,6,30
Gallas-Lopes,Replication,Sequence generation,High,0,0
Gallas-Lopes,Replication,Baseline characteristics,High,0,0
Gallas-Lopes,Replication,Allocation concealment,High,0,0
Gallas-Lopes,Replication,Random housing,High,0,0
Gallas-Lopes,Replication,Blinded caregivers,High,5,25
Gallas-Lopes,Replication,Random outcome assessment,High,0,0
Gallas-Lopes,Replication,Blinding of outcome assessment,High,0,0
Gallas-Lopes,Replication,Incomplete outcome data,High,4,20
