Project,Study,RoB_domain,Result
Replication,Cheng 2018,Sequence generation,Unclear
Replication,Cheng 2018,Baseline characteristics,Unclear
Replication,Cheng 2018,Allocation concealment,Unclear
Replication,Cheng 2018,Random housing,Unclear
Replication,Cheng 2018,Blinded caregivers,Unclear
Replication,Cheng 2018,Random outcome assessment,Unclear
Replication,Cheng 2018,Blinding of outcome assessment,Unclear
Replication,Cheng 2018,Incomplete outcome data,Low
Replication,Cheng 2018,Selective outcome reporting,Unclear
Replication,Cheng 2018,Other,Low
Replication,Ma 2013,Sequence generation,Unclear
Replication,Ma 2013,Baseline characteristics,Unclear
Replication,Ma 2013,Allocation concealment,Unclear
Replication,Ma 2013,Random housing,Unclear
Replication,Ma 2013,Blinded caregivers,Unclear
Replication,Ma 2013,Random outcome assessment,Unclear
Replication,Ma 2013,Blinding of outcome assessment,Unclear
Replication,Ma 2013,Incomplete outcome data,Unclear
Replication,Ma 2013,Selective outcome reporting,High
Replication,Ma 2013,Other,Unclear
Replication,Kitagawa 2018,Sequence generation,Unclear
Replication,Kitagawa 2018,Baseline characteristics,Unclear
Replication,Kitagawa 2018,Allocation concealment,Unclear
Replication,Kitagawa 2018,Random housing,Unclear
Replication,Kitagawa 2018,Blinded caregivers,Unclear
Replication,Kitagawa 2018,Random outcome assessment,Unclear
Replication,Kitagawa 2018,Blinding of outcome assessment,Unclear
Replication,Kitagawa 2018,Incomplete outcome data,Unclear
Replication,Kitagawa 2018,Selective outcome reporting,High
Replication,Kitagawa 2018,Other,Unclear
Replication,Hahn 2011,Sequence generation,Unclear
Replication,Hahn 2011,Baseline characteristics,Unclear
Replication,Hahn 2011,Allocation concealment,Unclear
Replication,Hahn 2011,Random housing,Unclear
Replication,Hahn 2011,Blinded caregivers,Unclear
Replication,Hahn 2011,Random outcome assessment,Unclear
Replication,Hahn 2011,Blinding of outcome assessment,Unclear
Replication,Hahn 2011,Incomplete outcome data,Unclear
Replication,Hahn 2011,Selective outcome reporting,High
Replication,Hahn 2011,Other,High
Replication,Hoda 2013,Sequence generation,Unclear
Replication,Hoda 2013,Baseline characteristics,Unclear
Replication,Hoda 2013,Allocation concealment,Unclear
Replication,Hoda 2013,Random housing,Unclear
Replication,Hoda 2013,Blinded caregivers,Unclear
Replication,Hoda 2013,Random outcome assessment,Unclear
Replication,Hoda 2013,Blinding of outcome assessment,Unclear
Replication,Hoda 2013,Incomplete outcome data,Low
Replication,Hoda 2013,Selective outcome reporting,Unclear
Replication,Hoda 2013,Other,Low
